player_name,overall,position,club,league,nationality,revision,pace,shooting,passing,dribbling,defending,physicality,total_points,average_points,Prices
Łukasz Fabiański,82,GK,West Ham,Premier League,Poland,Normal,82,82,71,82,49,83,449,74,750
Álex Centelles,75,LB,UD Almería,LaLiga SmartBank (ESP 2),Spain,Normal,77,51,68,71,69,74,410,68,500
Éder Gabriel Militão,82,CB,Real Madrid,LaLiga Santander,Brazil,Rare,83,50,69,70,83,82,437,72,750
Yunis Abdelhamid,77,CB,Stade de Reims,Ligue 1 Conforama,Morocco,Normal,33,33,56,65,78,83,348,58,350
Álvaro García Rivera,75,LM,Rayo Vallecano,LaLiga Santander,Spain,Normal,92,64,70,73,30,45,374,62,500
Éder Balanta,75,CDM,Club Brugge,1A Pro League (BEL 1),Colombia,Normal,66,43,61,69,75,82,396,66,500
Andrés D-Alessandro,75,CAM,Nacional,CONMEBOL Libertadores,Argentina,Libertadores,42,71,80,75,38,50,356,59,350
Ángel Mena,78,RM,León,LIGA BBVA MX (MEX 1),Ecuador,Normal,81,74,72,82,45,49,403,67,500
Wilfried Zaha,82,LF,Crystal Palace,Premier League,Côte d'Ivoire,Normal,89,77,73,87,34,75,435,72,750
Simone Verdi,75,CF,Torino,Serie A TIM,Italy,Normal,80,73,75,80,44,50,402,67,500
Óscar Cardozo,75,ST,Libertad,CONMEBOL Sudamericana,Paraguay,Sudamericana,50,80,63,64,28,68,353,58,350
